artist,year,title,musicbrainz_id,cover_filename
Queen,1973,Queen,810068af-2b3c-3e9c-b2ab-68a3f3e3787d,1973_queen.jpg
Queen,1974,Queen II,93d91bd6-1b55-3751-bca7-8b9d33beb7ef,1974_queen_ii.jpg
Queen,1974,Sheer Heart Attack,002ed683-3327-3df0-88c8-318746089925,1974_sheer_heart_attack.jpg
Queen,1975,A Night at the Opera,6b47c9a0-b9e1-3df9-a5e8-50a6ce0dbdbd,1975_a_night_at_the_opera.jpg
Queen,1976,A Day at the Races,a106e33b-e440-3ff3-9250-c6408ed73e60,1976_a_day_at_the_races.jpg
Queen,1977,News of the World,c172ea98-3a82-3254-b8ad-25a4f465ba03,1977_news_of_the_world.jpg
Queen,1978,Jazz,c192ea46-7377-34f0-b332-dd9810edd560,1978_jazz.jpg
Queen,1980,The Game,75702ddf-a46c-3cac-bace-0a466eb3c37c,1980_the_game.jpg
Queen,1980,Flash Gordon,70bd9521-c3ea-38c9-9d67-a6a6100bfa48,1980_flash_gordon.jpg
Queen,1982,Hot Space,3918b90b-340e-3779-9d7e-ba1593653498,1982_hot_space.jpg
Queen,1984,The Works,44c90c72-76b5-3c13-890e-3d37f21c10c9,1984_the_works.jpg
Queen,1986,A Kind of Magic,84f508a9-beae-3e97-b59e-3a8886c6e901,1986_a_kind_of_magic.jpg
Queen,1989,The Miracle,0c3067cd-0fc6-34fa-8611-cf3324b29c8a,1989_the_miracle.jpg
Queen,1991,Innuendo,daf57856-a734-3441-b0fd-26aa5f28ca64,1991_innuendo.jpg
Queen,1995,Made in Heaven,780e6a16-9384-307d-ae65-02e1d6313753,1995_made_in_heaven.jpg
Taylor Swift,2006,Taylor Swift,ba1d0c2a-bb07-38bc-835c-a880f76f1309,taylor_swift_2006_taylor_swift.jpg
Taylor Swift,2008,Fearless,63eba062-847c-3b73-8b0f-6baf27bba6fa,taylor_swift_2008_fearless.jpg
Taylor Swift,2010,Speak Now,ba1259eb-d41e-41c5-a70c-0e6fa73e6708,taylor_swift_2010_speak_now.jpg
Taylor Swift,2012,Red,a73cecde-0923-40ad-aad1-e8c24ba6c3d2,taylor_swift_2012_red.jpg
Taylor Swift,2014,1989,4d9ec1c2-58ec-48a4-aa0a-916718adead0,taylor_swift_2014_1989.jpg
Taylor Swift,2017,reputation,f060c8fd-bec9-426e-800e-8efc040a71e6,taylor_swift_2017_reputation.jpg
Taylor Swift,2019,Lover,30e9785b-7b50-4d29-b3d1-96fb55e3397f,taylor_swift_2019_lover.jpg
Taylor Swift,2020,folklore,f1d08326-c23b-4b43-be3b-20b33ab10bf6,taylor_swift_2020_folklore.jpg
Taylor Swift,2020,evermore,e86d6219-f5a2-4edd-bf2b-3f9eab190ae0,taylor_swift_2020_evermore.jpg
Taylor Swift,2021,The Vault (deluxe),2c049f28-a4e0-41c9-b7d8-e0a98951f357,taylor_swift_2021_the_vault_deluxe.jpg
