Artist 1,Album 1,Artist 2,Album 2,Similarity
Queen,Made in Heaven (1995),Bruce Springsteen,Tunnel of Love (1987),67.8
Taylor Swift,Taylor Swift (2006),Taylor Swift,Red (2012),67.7
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,1989 (2014),67.6
Queen,Made in Heaven (1995),Taylor Swift,evermore (2020),67.5
Bruce Springsteen,Darkness on the Edge of Town (1978),Bruce Springsteen,Letter to You (2020),67.5
Bruce Springsteen,Human Touch (1992),Kodak Black,Kodak The Blessing (2026),67.5
BTS,MAP OF THE SOUL : 7 (2020),Taylor Swift,1989 (2014),67.4
Bruce Springsteen,High Hopes (2014),Kodak Black,Kodak The Blessing (2026),67.3
Queen,Jazz (1978),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",67.2
Bruce Springsteen,Human Touch (1992),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),67.0
Queen,Queen II (1974),Bruce Springsteen,High Hopes (2014),66.9
Queen,The Works (1984),Queen,Innuendo (1991),66.8
Queen,Queen II (1974),Bruce Springsteen,Human Touch (1992),66.4
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,Red (2012),66.4
Bruce Springsteen,Born to Run (1975),Taylor Swift,evermore (2020),66.4
Bruce Springsteen,The River (1980),Bruce Springsteen,Nebraska (1982),66.4
Bruce Springsteen,The River (1980),Taylor Swift,evermore (2020),66.4
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,folklore (2020),66.4
Bruce Springsteen,Human Touch (1992),Bruce Springsteen,High Hopes (2014),66.4
Bruce Springsteen,Letter to You (2020),BTS,ARIRANG (2026),66.4
Queen,A Kind of Magic (1986),Taylor Swift,evermore (2020),66.3
Bruce Springsteen,High Hopes (2014),Taylor Swift,Red (Taylor’s Version) (2021),66.3
BTS,ARIRANG (2026),Taylor Swift,Red (Taylor’s Version) (2021),66.3
Bruce Springsteen,Human Touch (1992),Kodak Black,Just Getting Started (2025),66.2
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),66.1
Queen,The Miracle (1989),Bruce Springsteen,Human Touch (1992),66.0
Queen,The Works (1984),Bruce Springsteen,Human Touch (1992),65.8
Queen,A Night at the Opera (1975),Bruce Springsteen,Nebraska (1982),65.4
Queen,A Day at the Races (1976),Bruce Springsteen,Human Touch (1992),65.4
Queen,A Kind of Magic (1986),Taylor Swift,Red (Taylor’s Version) (2021),65.4
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,Human Touch (1992),65.2
Bruce Springsteen,Tunnel of Love (1987),Bruce Springsteen,High Hopes (2014),65.1
Taylor Swift,1989 (2014),Taylor Swift,Lover (2019),65.0
Bruce Springsteen,Nebraska (1982),BTS,MAP OF THE SOUL : 7 (2020),64.9
Bruce Springsteen,Nebraska (1982),Taylor Swift,Speak Now (2010),64.9
Queen,News of the World (1977),Bruce Springsteen,Letter to You (2020),64.6
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,Human Touch (1992),64.6
Queen,The Works (1984),Queen,The Miracle (1989),64.3
Queen,News of the World (1977),Queen,The Works (1984),64.2
Queen,The Game (1980),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",63.9
Queen,The Miracle (1989),Taylor Swift,Taylor Swift (2006),63.8
Bruce Springsteen,Human Touch (1992),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),63.8
Bruce Springsteen,Born to Run (1975),Taylor Swift,folklore (2020),63.5
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,evermore (2020),63.2
Bruce Springsteen,Letter to You (2020),Kodak Black,Trill Bill (2024),63.2
Kodak Black,Just Getting Started (2025),Taylor Swift,evermore (2020),63.2
Queen,Innuendo (1991),Taylor Swift,evermore (2020),63.1
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,High Hopes (2014),63.1
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,evermore (2020),63.1
Queen,News of the World (1977),Bruce Springsteen,Darkness on the Edge of Town (1978),62.9
Bruce Springsteen,Devils & Dust (2005),Taylor Swift,Red (Taylor’s Version) (2021),62.8
Queen,Sheer Heart Attack (1974),Taylor Swift,evermore (2020),62.7
Queen,A Kind of Magic (1986),Taylor Swift,Taylor Swift (2006),62.6
BTS,DARK&WILD (2014),Taylor Swift,evermore (2020),62.5
Queen,The Miracle (1989),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",62.4
Queen,Made in Heaven (1995),Bruce Springsteen,Born to Run (1975),62.3
Queen,Jazz (1978),Bruce Springsteen,Human Touch (1992),62.2
Queen,Jazz (1978),Taylor Swift,Red (Taylor’s Version) (2021),62.2
Bruce Springsteen,Nebraska (1982),Taylor Swift,Red (2012),61.8
Bruce Springsteen,Western Stars (2019),Taylor Swift,Red (2012),61.8
Bruce Springsteen,Letter to You (2020),Taylor Swift,reputation (2017),61.8
Queen,The Miracle (1989),Bruce Springsteen,Nebraska (1982),61.7
Queen,Innuendo (1991),Taylor Swift,folklore (2020),61.5
Bruce Springsteen,High Hopes (2014),Taylor Swift,Fearless (2008),61.5
Queen,Sheer Heart Attack (1974),Taylor Swift,Red (Taylor’s Version) (2021),61.4
Bruce Springsteen,Human Touch (1992),Taylor Swift,Red (2012),61.1
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,Red (Taylor’s Version) (2021),61.0
Queen,The Works (1984),BTS,WINGS (2016),60.9
Bruce Springsteen,Darkness on the Edge of Town (1978),Bruce Springsteen,High Hopes (2014),60.8
Queen,The Works (1984),Taylor Swift,Taylor Swift (2006),60.7
Bruce Springsteen,Western Stars (2019),Bruce Springsteen,Letter to You (2020),60.7
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,Red (Taylor’s Version) (2021),60.7
Queen,Sheer Heart Attack (1974),Taylor Swift,Taylor Swift (2006),60.5
Queen,Made in Heaven (1995),Taylor Swift,Red (2012),60.2
Bruce Springsteen,High Hopes (2014),Taylor Swift,Red (2012),60.2
Queen,The Game (1980),Bruce Springsteen,Human Touch (1992),60.0
Taylor Swift,Taylor Swift (2006),Taylor Swift,evermore (2020),60.0
Bruce Springsteen,Darkness on the Edge of Town (1978),Kodak Black,Trill Bill (2024),59.8
Bruce Springsteen,High Hopes (2014),Taylor Swift,reputation (2017),59.8
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Taylor Swift,Taylor Swift (2006),59.6
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,evermore (2020),59.6
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,Taylor Swift (2006),59.5
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,Darkness on the Edge of Town (1978),59.3
Bruce Springsteen,Darkness on the Edge of Town (1978),Bruce Springsteen,Western Stars (2019),59.1
Queen,The Miracle (1989),Taylor Swift,Red (2012),58.9
Bruce Springsteen,Devils & Dust (2005),Taylor Swift,evermore (2020),58.8
Queen,Made in Heaven (1995),Taylor Swift,reputation (2017),58.7
Bruce Springsteen,Nebraska (1982),Taylor Swift,Lover (2019),58.7
Queen,A Day at the Races (1976),Taylor Swift,evermore (2020),58.6
Queen,The Works (1984),Bruce Springsteen,Darkness on the Edge of Town (1978),58.4
Bruce Springsteen,Devils & Dust (2005),Taylor Swift,Taylor Swift (2006),58.4
Bruce Springsteen,Letter to You (2020),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),58.4
Queen,The Game (1980),Taylor Swift,Red (Taylor’s Version) (2021),58.1
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,Red (Taylor’s Version) (2021),58.1
Taylor Swift,1989 (2014),Taylor Swift,folklore (2020),58.1
Bruce Springsteen,Human Touch (1992),Taylor Swift,evermore (2020),58.0
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Bruce Springsteen,High Hopes (2014),57.8
Queen,Queen II (1974),Taylor Swift,evermore (2020),57.7
BTS,DARK&WILD (2014),Taylor Swift,Red (Taylor’s Version) (2021),57.5
Kodak Black,Kodak The Blessing (2026),Taylor Swift,evermore (2020),57.5
Bruce Springsteen,Nebraska (1982),Taylor Swift,Fearless (2008),57.3
BTS,ARIRANG (2026),Taylor Swift,Taylor Swift (2006),57.0
Queen,News of the World (1977),Taylor Swift,reputation (2017),56.9
Queen,Innuendo (1991),Queen,Made in Heaven (1995),56.9
Bruce Springsteen,Born to Run (1975),Bruce Springsteen,High Hopes (2014),56.8
Bruce Springsteen,Nebraska (1982),Bruce Springsteen,Letter to You (2020),56.8
Kodak Black,Kodak The Blessing (2026),Taylor Swift,Taylor Swift (2006),56.8
Kodak Black,Kodak The Blessing (2026),Taylor Swift,Red (Taylor’s Version) (2021),56.7
BTS,WINGS (2016),Taylor Swift,folklore (2020),56.5
Bruce Springsteen,High Hopes (2014),Bruce Springsteen,Letter to You (2020),56.4
Queen,A Kind of Magic (1986),Bruce Springsteen,Letter to You (2020),56.3
Queen,A Day at the Races (1976),Taylor Swift,Taylor Swift (2006),56.2
Queen,Queen II (1974),Taylor Swift,Red (Taylor’s Version) (2021),55.8
Queen,A Day at the Races (1976),Taylor Swift,Red (Taylor’s Version) (2021),55.8
Queen,Made in Heaven (1995),BTS,WINGS (2016),55.7
Bruce Springsteen,The River (1980),Bruce Springsteen,Letter to You (2020),55.7
Kodak Black,Just Getting Started (2025),Taylor Swift,Red (Taylor’s Version) (2021),55.7
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,Red (2012),55.6
Bruce Springsteen,Darkness on the Edge of Town (1978),Bruce Springsteen,The River (1980),55.5
Kodak Black,Just Getting Started (2025),Taylor Swift,Taylor Swift (2006),55.4
Bruce Springsteen,Nebraska (1982),Bruce Springsteen,Human Touch (1992),55.2
Bruce Springsteen,Western Stars (2019),Taylor Swift,evermore (2020),55.2
Queen,Made in Heaven (1995),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",55.1
Queen,Queen II (1974),Taylor Swift,Taylor Swift (2006),54.9
BTS,WINGS (2016),Taylor Swift,evermore (2020),54.9
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,Taylor Swift (2006),54.8
Queen,The Miracle (1989),Taylor Swift,Red (Taylor’s Version) (2021),54.5
BTS,DARK&WILD (2014),Taylor Swift,Taylor Swift (2006),54.3
Queen,Jazz (1978),Taylor Swift,Taylor Swift (2006),54.1
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,Letter to You (2020),53.9
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,Fearless (2008),53.8
Queen,The Works (1984),Taylor Swift,Speak Now (2010),53.7
Queen,Innuendo (1991),Bruce Springsteen,High Hopes (2014),53.3
Bruce Springsteen,Human Touch (1992),Taylor Swift,Taylor Swift (2006),53.2
Taylor Swift,Lover (2019),Taylor Swift,folklore (2020),53.1
Taylor Swift,evermore (2020),Taylor Swift,The Vault (deluxe) (2021),53.1
Taylor Swift,Speak Now (2010),Taylor Swift,folklore (2020),52.9
Queen,News of the World (1977),Taylor Swift,folklore (2020),52.8
Queen,Made in Heaven (1995),Bruce Springsteen,Human Touch (1992),52.5
Queen,News of the World (1977),Queen,Innuendo (1991),52.4
Bruce Springsteen,Letter to You (2020),Taylor Swift,Taylor Swift (2006),52.3
Queen,A Night at the Opera (1975),Taylor Swift,folklore (2020),52.2
Queen,The Game (1980),Taylor Swift,Taylor Swift (2006),52.2
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,Red (Taylor’s Version) (2021),52.1
Queen,The Miracle (1989),Taylor Swift,evermore (2020),52.0
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,Nebraska (1982),52.0
Queen,News of the World (1977),Bruce Springsteen,Born to Run (1975),51.5
Queen,News of the World (1977),Bruce Springsteen,Nebraska (1982),51.5
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,folklore (2020),51.5
Taylor Swift,reputation (2017),Taylor Swift,The Vault (deluxe) (2021),51.5
Queen,News of the World (1977),Taylor Swift,Red (2012),51.4
Taylor Swift,Speak Now (2010),Taylor Swift,evermore (2020),51.4
Queen,Made in Heaven (1995),Taylor Swift,Taylor Swift (2006),51.0
Bruce Springsteen,Western Stars (2019),Taylor Swift,Red (Taylor’s Version) (2021),51.0
Bruce Springsteen,Letter to You (2020),BTS,DARK&WILD (2014),51.0
BTS,MAP OF THE SOUL : 7 (2020),Taylor Swift,folklore (2020),50.9
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,Letter to You (2020),50.5
Bruce Springsteen,High Hopes (2014),BTS,WINGS (2016),50.4
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,reputation (2017),50.3
Bruce Springsteen,Nebraska (1982),Taylor Swift,Red (Taylor’s Version) (2021),50.2
Bruce Springsteen,High Hopes (2014),Taylor Swift,1989 (2014),49.9
Queen,A Night at the Opera (1975),Queen,The Works (1984),49.6
Bruce Springsteen,Nebraska (1982),Taylor Swift,Taylor Swift (2006),49.6
Bruce Springsteen,High Hopes (2014),Taylor Swift,Speak Now (2010),49.4
Bruce Springsteen,Human Touch (1992),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),49.3
Queen,The Works (1984),BTS,MAP OF THE SOUL : 7 (2020),49.1
Queen,News of the World (1977),Bruce Springsteen,Tunnel of Love (1987),49.0
Bruce Springsteen,Letter to You (2020),Kodak Black,Just Getting Started (2025),49.0
Taylor Swift,1989 (2014),Taylor Swift,evermore (2020),48.0
Queen,A Day at the Races (1976),Bruce Springsteen,Letter to You (2020),47.9
Bruce Springsteen,Nebraska (1982),Taylor Swift,1989 (2014),47.8
Queen,News of the World (1977),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",47.7
Taylor Swift,Taylor Swift (2006),Taylor Swift,1989 (2014),47.7
Queen,Sheer Heart Attack (1974),Bruce Springsteen,Letter to You (2020),47.5
Bruce Springsteen,Nebraska (1982),Taylor Swift,folklore (2020),47.4
Queen,The Works (1984),Taylor Swift,folklore (2020),47.0
Queen,Made in Heaven (1995),BTS,MAP OF THE SOUL : 7 (2020),47.0
Queen,News of the World (1977),Taylor Swift,Red (Taylor’s Version) (2021),46.9
Queen,Made in Heaven (1995),Taylor Swift,Speak Now (2010),46.9
Queen,Jazz (1978),Taylor Swift,reputation (2017),46.8
Queen,The Works (1984),Taylor Swift,Fearless (2008),46.8
Queen,A Night at the Opera (1975),Queen,Made in Heaven (1995),46.7
Bruce Springsteen,Human Touch (1992),Bruce Springsteen,Letter to You (2020),46.6
Queen,News of the World (1977),BTS,ARIRANG (2026),46.5
Queen,The Works (1984),Bruce Springsteen,Western Stars (2019),46.5
Queen,The Works (1984),Taylor Swift,Lover (2019),46.5
Bruce Springsteen,Letter to You (2020),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),46.4
Queen,Made in Heaven (1995),Taylor Swift,Lover (2019),46.3
Queen,Queen II (1974),Bruce Springsteen,Letter to You (2020),46.1
Bruce Springsteen,Darkness on the Edge of Town (1978),Bruce Springsteen,Tunnel of Love (1987),45.6
Bruce Springsteen,Devils & Dust (2005),Bruce Springsteen,Letter to You (2020),45.5
Bruce Springsteen,Letter to You (2020),Kodak Black,Kodak The Blessing (2026),45.4
Queen,News of the World (1977),Bruce Springsteen,High Hopes (2014),45.2
Taylor Swift,Lover (2019),Taylor Swift,evermore (2020),45.1
Queen,Made in Heaven (1995),Bruce Springsteen,Letter to You (2020),44.8
Bruce Springsteen,Tunnel of Love (1987),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),44.7
Bruce Springsteen,Western Stars (2019),Taylor Swift,Taylor Swift (2006),44.6
Queen,Made in Heaven (1995),Taylor Swift,Red (Taylor’s Version) (2021),44.3
Queen,A Night at the Opera (1975),Taylor Swift,evermore (2020),44.2
Taylor Swift,Fearless (2008),Taylor Swift,folklore (2020),44.0
Queen,The Game (1980),Taylor Swift,reputation (2017),43.8
Taylor Swift,Taylor Swift (2006),Taylor Swift,Fearless (2008),43.8
Queen,News of the World (1977),Queen,Jazz (1978),43.6
Taylor Swift,Fearless (2008),Taylor Swift,evermore (2020),43.6
Queen,A Night at the Opera (1975),Bruce Springsteen,High Hopes (2014),43.3
Queen,The Works (1984),Taylor Swift,1989 (2014),43.0
BTS,MAP OF THE SOUL : 7 (2020),Taylor Swift,evermore (2020),43.0
Queen,News of the World (1977),BTS,WINGS (2016),42.8
Bruce Springsteen,Darkness on the Edge of Town (1978),Bruce Springsteen,Nebraska (1982),42.4
Queen,News of the World (1977),Taylor Swift,Taylor Swift (2006),42.3
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,The Vault (deluxe) (2021),42.3
Queen,Innuendo (1991),Bruce Springsteen,Darkness on the Edge of Town (1978),42.2
Queen,The Miracle (1989),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),42.1
Bruce Springsteen,Tunnel of Love (1987),Bruce Springsteen,Letter to You (2020),42.1
Bruce Springsteen,High Hopes (2014),BTS,MAP OF THE SOUL : 7 (2020),42.1
Bruce Springsteen,Western Stars (2019),BTS,ARIRANG (2026),41.7
Queen,Flash Gordon (1980),Queen,Hot Space (1982),41.2
Queen,News of the World (1977),Kodak Black,Trill Bill (2024),40.9
Queen,The Game (1980),Taylor Swift,The Vault (deluxe) (2021),40.9
Bruce Springsteen,High Hopes (2014),Taylor Swift,Lover (2019),40.9
Bruce Springsteen,Born to Run (1975),Bruce Springsteen,Darkness on the Edge of Town (1978),40.8
BTS,ARIRANG (2026),Taylor Swift,reputation (2017),40.8
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,Speak Now (2010),40.7
Bruce Springsteen,Tunnel of Love (1987),BTS,ARIRANG (2026),40.5
Queen,Jazz (1978),Bruce Springsteen,Tunnel of Love (1987),40.4
Queen,Made in Heaven (1995),Taylor Swift,Fearless (2008),40.1
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),39.8
Queen,The Miracle (1989),Bruce Springsteen,Letter to You (2020),39.7
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Kodak Black,Trill Bill (2024),39.7
Bruce Springsteen,High Hopes (2014),Taylor Swift,folklore (2020),39.7
Queen,News of the World (1977),Taylor Swift,Speak Now (2010),39.4
Queen,Jazz (1978),Bruce Springsteen,Darkness on the Edge of Town (1978),39.4
Bruce Springsteen,Born to Run (1975),Bruce Springsteen,Letter to You (2020),39.2
Bruce Springsteen,Tunnel of Love (1987),Kodak Black,Just Getting Started (2025),38.8
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,reputation (2017),38.4
Queen,Queen (1973),Kodak Black,Just Getting Started (2025),38.1
Queen,Sheer Heart Attack (1974),Bruce Springsteen,Tunnel of Love (1987),38.0
Bruce Springsteen,Born to Run (1975),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),38.0
Queen,The Game (1980),Taylor Swift,folklore (2020),37.8
Queen,Queen (1973),Queen,Made in Heaven (1995),37.7
Bruce Springsteen,Darkness on the Edge of Town (1978),BTS,ARIRANG (2026),37.6
Queen,News of the World (1977),Taylor Swift,1989 (2014),37.5
Queen,Jazz (1978),Taylor Swift,folklore (2020),37.5
Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),Taylor Swift,Red (Taylor’s Version) (2021),37.5
Queen,The Game (1980),Bruce Springsteen,Tunnel of Love (1987),37.4
Bruce Springsteen,Born to Run (1975),BTS,ARIRANG (2026),37.4
Bruce Springsteen,Tunnel of Love (1987),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),37.2
Queen,News of the World (1977),Queen,Made in Heaven (1995),36.9
Queen,News of the World (1977),Taylor Swift,Lover (2019),36.7
Taylor Swift,Red (2012),Taylor Swift,reputation (2017),36.4
Queen,A Night at the Opera (1975),Queen,News of the World (1977),36.3
Queen,News of the World (1977),Taylor Swift,Fearless (2008),36.3
Queen,Innuendo (1991),Bruce Springsteen,Letter to You (2020),36.0
Queen,Queen (1973),Bruce Springsteen,Nebraska (1982),35.8
Queen,News of the World (1977),BTS,MAP OF THE SOUL : 7 (2020),35.5
Queen,Jazz (1978),Taylor Swift,The Vault (deluxe) (2021),35.4
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,reputation (2017),35.4
Queen,News of the World (1977),Queen,The Game (1980),35.2
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Bruce Springsteen,Western Stars (2019),35.2
Bruce Springsteen,Tunnel of Love (1987),Kodak Black,Trill Bill (2024),35.0
Queen,News of the World (1977),Bruce Springsteen,The River (1980),34.9
Queen,The Game (1980),Bruce Springsteen,Darkness on the Edge of Town (1978),34.7
Bruce Springsteen,Western Stars (2019),Kodak Black,Trill Bill (2024),34.5
Queen,Sheer Heart Attack (1974),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),34.1
Queen,Jazz (1978),Bruce Springsteen,Born to Run (1975),34.0
Kodak Black,Just Getting Started (2025),Taylor Swift,reputation (2017),33.8
Queen,Queen (1973),Taylor Swift,Red (2012),33.6
Bruce Springsteen,Darkness on the Edge of Town (1978),BTS,WINGS (2016),33.6
Bruce Springsteen,The River (1980),Bruce Springsteen,Tunnel of Love (1987),33.6
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,Taylor Swift (2006),33.6
Queen,News of the World (1977),Queen,A Kind of Magic (1986),33.3
Queen,News of the World (1977),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),33.3
Kodak Black,Trill Bill (2024),Taylor Swift,reputation (2017),33.2
Queen,Queen (1973),BTS,ARIRANG (2026),33.1
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,Lover (2019),33.1
Queen,News of the World (1977),Taylor Swift,The Vault (deluxe) (2021),32.8
Queen,News of the World (1977),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",32.7
Queen,A Kind of Magic (1986),Bruce Springsteen,Darkness on the Edge of Town (1978),32.6
Bruce Springsteen,Tunnel of Love (1987),BTS,DARK&WILD (2014),32.6
Bruce Springsteen,Letter to You (2020),Taylor Swift,1989 (2014),32.5
Queen,Queen (1973),Queen,The Works (1984),32.4
Queen,Jazz (1978),Bruce Springsteen,Western Stars (2019),32.4
Bruce Springsteen,Darkness on the Edge of Town (1978),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),32.4
Queen,Queen (1973),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),32.3
Queen,Sheer Heart Attack (1974),Taylor Swift,reputation (2017),32.2
Bruce Springsteen,Born to Run (1975),Kodak Black,Just Getting Started (2025),32.0
Bruce Springsteen,Devils & Dust (2005),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),31.9
Bruce Springsteen,The River (1980),Bruce Springsteen,Western Stars (2019),31.8
Queen,Made in Heaven (1995),Taylor Swift,1989 (2014),31.7
Queen,Innuendo (1991),BTS,ARIRANG (2026),31.4
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,Darkness on the Edge of Town (1978),31.4
Taylor Swift,1989 (2014),Taylor Swift,The Vault (deluxe) (2021),31.4
Queen,News of the World (1977),Bruce Springsteen,Human Touch (1992),31.3
Queen,Queen (1973),Taylor Swift,Speak Now (2010),30.9
Queen,Innuendo (1991),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),30.7
Queen,The Miracle (1989),Bruce Springsteen,Darkness on the Edge of Town (1978),30.6
Queen,Queen (1973),Bruce Springsteen,Tunnel of Love (1987),30.5
Queen,Sheer Heart Attack (1974),Bruce Springsteen,Born to Run (1975),30.4
Queen,Queen (1973),Queen,Sheer Heart Attack (1974),30.0
Taylor Swift,Red (2012),Taylor Swift,folklore (2020),30.0
BTS,WINGS (2016),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),29.8
Bruce Springsteen,Born to Run (1975),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),29.7
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,Red (2012),29.7
Queen,Queen (1973),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),29.6
Queen,Made in Heaven (1995),Bruce Springsteen,Darkness on the Edge of Town (1978),29.6
BTS,DARK&WILD (2014),Taylor Swift,reputation (2017),29.6
Queen,A Night at the Opera (1975),Bruce Springsteen,Darkness on the Edge of Town (1978),29.5
Queen,A Kind of Magic (1986),Bruce Springsteen,Western Stars (2019),29.4
Taylor Swift,Red (2012),Taylor Swift,The Vault (deluxe) (2021),29.4
Queen,A Kind of Magic (1986),Bruce Springsteen,Tunnel of Love (1987),29.3
Queen,A Kind of Magic (1986),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),29.3
Queen,A Day at the Races (1976),Bruce Springsteen,Tunnel of Love (1987),29.2
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,Tunnel of Love (1987),29.2
Bruce Springsteen,The River (1980),Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),29.1
Queen,Queen (1973),Queen,A Kind of Magic (1986),29.0
Queen,Queen (1973),BTS,DARK&WILD (2014),29.0
Queen,The Miracle (1989),Bruce Springsteen,Tunnel of Love (1987),29.0
Bruce Springsteen,Darkness on the Edge of Town (1978),Bruce Springsteen,Human Touch (1992),29.0
Queen,Queen (1973),Bruce Springsteen,Born to Run (1975),28.9
Queen,Queen (1973),Bruce Springsteen,High Hopes (2014),28.8
Queen,Queen (1973),Queen,Innuendo (1991),28.7
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,We Shall Overcome: The Seeger Sessions (2006),28.6
Queen,Queen (1973),Queen,Queen II (1974),28.5
Queen,Queen II (1974),Bruce Springsteen,Tunnel of Love (1987),28.5
Taylor Swift,Taylor Swift (2006),Taylor Swift,Speak Now (2010),28.4
Queen,Queen (1973),Queen,A Day at the Races (1976),28.3
Queen,Queen (1973),Queen,The Game (1980),28.3
Queen,The Game (1980),Bruce Springsteen,Born to Run (1975),28.3
Queen,News of the World (1977),Kodak Black,Just Getting Started (2025),28.2
Bruce Springsteen,Tunnel of Love (1987),Kodak Black,Kodak The Blessing (2026),28.2
Queen,Queen (1973),Kodak Black,Kodak The Blessing (2026),28.0
Queen,Queen (1973),Queen,Jazz (1978),27.9
Bruce Springsteen,Darkness on the Edge of Town (1978),BTS,MAP OF THE SOUL : 7 (2020),27.7
Bruce Springsteen,Tunnel of Love (1987),Bruce Springsteen,Devils & Dust (2005),27.7
Queen,Made in Heaven (1995),Taylor Swift,folklore (2020),27.6
Taylor Swift,reputation (2017),Taylor Swift,Red (Taylor’s Version) (2021),27.6
Queen,Queen (1973),Bruce Springsteen,Devils & Dust (2005),27.5
Bruce Springsteen,High Hopes (2014),Bruce Springsteen,Western Stars (2019),27.5
Queen,News of the World (1977),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),27.3
Queen,A Kind of Magic (1986),Taylor Swift,reputation (2017),27.3
Bruce Springsteen,Darkness on the Edge of Town (1978),Bruce Springsteen,Devils & Dust (2005),27.3
