Artist 1,Album 1,Artist 2,Album 2,Similarity
Queen,Queen II (1974),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",93.4
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Kodak Black,Kodak The Blessing (2026),93.2
Bruce Springsteen,Born to Run (1975),Taylor Swift,reputation (2017),93.2
Queen,A Kind of Magic (1986),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",93.0
Queen,A Day at the Races (1976),Queen,The Game (1980),92.8
Queen,A Night at the Opera (1975),Bruce Springsteen,Tunnel of Love (1987),92.7
Queen,Jazz (1978),Queen,A Kind of Magic (1986),92.7
Queen,The Works (1984),Bruce Springsteen,Nebraska (1982),92.7
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Kodak Black,Just Getting Started (2025),92.7
Queen,A Day at the Races (1976),Queen,Jazz (1978),92.5
Queen,Jazz (1978),Kodak Black,Just Getting Started (2025),92.5
Bruce Springsteen,Tunnel of Love (1987),BTS,MAP OF THE SOUL : 7 (2020),92.3
Queen,Sheer Heart Attack (1974),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",92.1
Queen,The Works (1984),Taylor Swift,evermore (2020),92.1
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,Devils & Dust (2005),92.1
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),BTS,ARIRANG (2026),92.0
Queen,The Game (1980),Kodak Black,Just Getting Started (2025),91.9
Bruce Springsteen,Letter to You (2020),Taylor Swift,evermore (2020),91.9
Queen,Queen II (1974),Queen,Jazz (1978),91.8
Queen,Queen II (1974),Queen,The Game (1980),91.8
Bruce Springsteen,Devils & Dust (2005),Kodak Black,Trill Bill (2024),91.8
Queen,Queen II (1974),BTS,ARIRANG (2026),91.7
Queen,Sheer Heart Attack (1974),BTS,ARIRANG (2026),91.7
Queen,A Day at the Races (1976),BTS,ARIRANG (2026),91.7
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),91.5
BTS,ARIRANG (2026),Kodak Black,Kodak The Blessing (2026),91.3
Queen,Jazz (1978),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),91.2
Queen,Innuendo (1991),Taylor Swift,reputation (2017),91.0
Queen,Jazz (1978),Kodak Black,Kodak The Blessing (2026),90.9
Queen,The Game (1980),Kodak Black,Kodak The Blessing (2026),90.9
Queen,The Game (1980),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),90.6
Queen,The Game (1980),Queen,A Kind of Magic (1986),90.5
Queen,A Kind of Magic (1986),Kodak Black,Trill Bill (2024),90.5
Bruce Springsteen,The River (1980),Bruce Springsteen,Devils & Dust (2005),90.5
Kodak Black,Trill Bill (2024),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),90.0
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",BTS,ARIRANG (2026),89.9
Bruce Springsteen,Devils & Dust (2005),BTS,ARIRANG (2026),89.8
Queen,A Night at the Opera (1975),Taylor Swift,Speak Now (2010),89.7
Queen,Jazz (1978),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",89.7
Queen,Sheer Heart Attack (1974),Queen,Jazz (1978),89.5
Queen,Sheer Heart Attack (1974),Queen,The Game (1980),89.4
Queen,The Game (1980),BTS,ARIRANG (2026),89.4
BTS,WINGS (2016),Taylor Swift,Speak Now (2010),89.4
Queen,Sheer Heart Attack (1974),Kodak Black,Trill Bill (2024),89.3
Bruce Springsteen,The River (1980),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),89.2
Queen,The Game (1980),Bruce Springsteen,Devils & Dust (2005),89.1
Queen,Innuendo (1991),Taylor Swift,Speak Now (2010),89.1
Queen,Jazz (1978),Bruce Springsteen,Devils & Dust (2005),88.9
BTS,MAP OF THE SOUL : 7 (2020),Taylor Swift,Speak Now (2010),88.8
Queen,The Works (1984),BTS,ARIRANG (2026),88.7
Queen,The Game (1980),Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",88.5
BTS,WINGS (2016),Taylor Swift,reputation (2017),88.5
Queen,A Night at the Opera (1975),Taylor Swift,Lover (2019),88.3
Bruce Springsteen,The River (1980),Kodak Black,Kodak The Blessing (2026),88.3
Kodak Black,Trill Bill (2024),Kodak Black,Kodak The Blessing (2026),88.3
Queen,Sheer Heart Attack (1974),Bruce Springsteen,The River (1980),88.2
Queen,A Kind of Magic (1986),Bruce Springsteen,The River (1980),88.2
Queen,Made in Heaven (1995),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),88.2
Bruce Springsteen,Born to Run (1975),Taylor Swift,Speak Now (2010),88.0
Queen,Queen II (1974),Bruce Springsteen,The River (1980),87.8
